name	path	filter	prompt	titel	autor	projektuebersicht
01	https://raw.githubusercontent.com/maroeplin/bvk-128-03/24cb1eb6567d228de45eb66904304d3bb036c731/Timecodes/114/114_Objekte_N%C3%B5ulik_Romy.jpg   Objekte prompt eingeben Titel der Arbeit    Nõulik Romy   noulik
10  https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/126/01_Szenen_Schlotthauer_Jana_126_01.jpg  Szenen  2001: a space odyssey, neon ambiance, abstract black oil, gear mecha, detailed acrylic, grunge, intricate complexity, rendered in unreal engine, photorealistic. kaleidoscopic, microscopic, macro, insane detail, kaleidoscope, otherworldly.  Wahrnehmung  Jana Schlotthauer  schlotthauer
11  https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/126/01_Szenen_Schlotthauer_Jana_126_02.jpg  Szenen  ominous microscopy, kaleidoscopic, macro, neon, highly detailed, explosion, chaotic, motion.  Wahrnehmung  Jana Schlotthauer  schlotthauer
12  https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/126/01_Szenen_Schlotthauer_Jana_126_03.jpg  Szenen  kaleidoscopic, going extremely fast, macro, chaotic, weird, higher power, microscopy, organic shapes, floral elements, nerves, neon color, lights, golden ratio, surrealistic, smoke, fast motion, motion blur on the side.  Wahrnehmung  Jana Schlotthauer  schlotthauer
13  https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/126/01_Szenen_Schlotthauer_Jana_126_04.jpg  Szenen  detailed kaleidoscopic tunnel of galaxies, geometry, glass, gloss, wet, human nerves, microscopy, aura, rapid, pink and yellow, neon, bright, blinding, incredible, chaotic, ominous.  Wahrnehmung  Jana Schlotthauer  schlotthauer
14  https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/126/01_Szenen_Schlotthauer_Jana_126_05.jpg  Szenen  kaleidoscopic human nerves, macro, neon, highly detailed, explosion, chaotic, motion, Platos Atlantis, pink, fast, dark atmosphere, intricate, astral.  Wahrnehmung  Jana Schlotthauer  schlotthauer
15  https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/126/01_Szenen_Schlotthauer_Jana_126_06.jpg  Szenen  2001 space odyssey, kaleidoscopic style, macro, microorganism, microscopic, ethereal, weird, stunning, analog photography, neon light beams, motion blur, distorted Vision, aura, Alexander McQueen on acid.  Wahrnehmung  Jana Schlotthauer  schlotthauer
16  https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/126/01_Szenen_Schlotthauer_Jana_126_07.jpg  Szenen  kaleidoscopic tunnel of worlds, macro, neon, highly detailed, explosion, chaotic, motion, Platos Atlantis, pink, fast, dark atmosphere, intricate, astral.  Wahrnehmung  Jana Schlotthauer  schlotthauer
17  https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/126/01_Szenen_Schlotthauer_Jana_126_08.jpg  Szenen  hand coming towards the screen. creepy, kaleidoscopic, mirrorball light source. golden hour, neon lights. extremely fast motion, human nerves.  Wahrnehmung  Jana Schlotthauer  schlotthauer
